q0,q1,q2,mean_cost,std
0.1,0.02,0.02,137.13,84.51
0.1,0.02,0.04,165.57,84.37
0.1,0.02,0.06,159.96,85.7
0.1,0.02,0.08,163.5,92.45
0.1,0.02,0.1,194.52,97.05
0.1,0.02,0.12,190.12,94.7
0.1,0.02,0.14,220.9,96.07
0.1,0.02,0.16,195.88,105.35
0.1,0.02,0.18,222.21,108.88
0.1,0.02,0.2,216.62,103.59
0.1,0.02,0.22,211.41,97.84
0.1,0.02,0.24,223.26,114.89
0.1,0.02,0.26,223.7,94.09
0.1,0.02,0.28,236.18,106.87
0.1,0.02,0.3,215.97,114.65
0.1,0.02,0.32,237.56,113.16
0.1,0.02,0.34,230.6,106.83
0.1,0.02,0.36,223.11,102.02
0.1,0.02,0.38,235.66,126.18
0.1,0.02,0.4,234.03,111.59
0.1,0.02,0.42,247.67,112.16
0.1,0.02,0.44,215.61,104.05
0.1,0.02,0.46,247.08,103.16
0.1,0.02,0.48,231.45,111.78
0.1,0.02,0.5,253.72,131.93
0.1,0.02,0.52,224.62,96.07
0.1,0.02,0.54,246.83,125.38
0.1,0.02,0.56,237.06,117.6
0.1,0.02,0.58,233.49,94.24
0.1,0.02,0.6,241.14,116.75
0.1,0.02,0.62,232.11,100.53
0.1,0.02,0.64,235.76,118.47
0.1,0.02,0.66,244.64,112.64
0.1,0.02,0.68,230.46,114.71
0.1,0.02,0.7,233.74,105.19
0.1,0.02,0.72,241.03,114.07
0.1,0.02,0.74,254.56,122.25
0.1,0.02,0.76,217.83,107.23
0.1,0.02,0.78,224.93,98.33
0.1,0.02,0.8,194.82,95.8
0.1,0.02,0.82,198.18,99.23
0.1,0.02,0.84,189.37,95.53
0.1,0.02,0.86,199.0,89.56
0.1,0.02,0.88,192.47,78.81
0.1,0.02,0.9,171.03,76.89
0.1,0.02,0.92,184.32,89.32
0.1,0.02,0.94,162.37,87.25
0.1,0.02,0.96,156.05,80.38
0.1,0.02,0.98,143.23,68.21
0.1,0.04,0.02,141.05,72.03
0.1,0.04,0.04,164.18,80.98
0.1,0.04,0.06,185.15,90.03
0.1,0.04,0.08,199.62,89.58
0.1,0.04,0.1,215.19,90.75
0.1,0.04,0.12,210.56,106.74
0.1,0.04,0.14,231.71,103.41
0.1,0.04,0.16,223.75,113.21
0.1,0.04,0.18,234.68,110.37
0.1,0.04,0.2,222.63,93.23
0.1,0.04,0.22,235.23,108.59
0.1,0.04,0.24,243.02,112.64
0.1,0.04,0.26,264.27,120.77
0.1,0.04,0.28,239.88,104.67
0.1,0.04,0.3,243.55,106.33
0.1,0.04,0.32,269.96,125.81
0.1,0.04,0.34,240.88,126.28
0.1,0.04,0.36,261.01,122.67
0.1,0.04,0.38,248.85,114.69
0.1,0.04,0.4,273.11,130.19
0.1,0.04,0.42,284.34,142.67
0.1,0.04,0.44,275.23,111.2
0.1,0.04,0.46,279.31,133.24
0.1,0.04,0.48,266.28,136.13
0.1,0.04,0.5,275.7,124.2
0.1,0.04,0.52,280.07,125.94
0.1,0.04,0.54,294.94,129.53
0.1,0.04,0.56,253.55,127.76
0.1,0.04,0.58,302.24,133.96
0.1,0.04,0.6,274.4,122.8
0.1,0.04,0.62,280.95,133.75
0.1,0.04,0.64,257.51,122.41
0.1,0.04,0.66,258.41,116.13
0.1,0.04,0.68,232.25,111.43
0.1,0.04,0.7,272.91,118.27
0.1,0.04,0.72,243.59,128.44
0.1,0.04,0.74,261.5,113.63
0.1,0.04,0.76,261.37,109.56
0.1,0.04,0.78,241.02,106.65
0.1,0.04,0.8,255.35,126.32
0.1,0.04,0.82,239.77,110.72
0.1,0.04,0.84,255.63,107.57
0.1,0.04,0.86,215.55,105.74
0.1,0.04,0.88,224.4,95.07
0.1,0.04,0.9,196.97,93.37
0.1,0.04,0.92,178.6,94.22
0.1,0.04,0.94,183.23,90.07
0.1,0.04,0.96,167.76,75.83
