q0,q1,q2,mean_cost,std
0.1,0.04,0.98,159.85,82.92
0.1,0.06,0.02,171.63,92.88
0.1,0.06,0.04,194.38,97.25
0.1,0.06,0.06,209.13,98.26
0.1,0.06,0.08,207.31,92.63
0.1,0.06,0.1,205.76,99.42
0.1,0.06,0.12,219.24,117.28
0.1,0.06,0.14,243.39,114.64
0.1,0.06,0.16,240.39,114.96
0.1,0.06,0.18,238.54,108.85
0.1,0.06,0.2,267.21,123.65
0.1,0.06,0.22,251.94,124.33
0.1,0.06,0.24,271.25,119.0
0.1,0.06,0.26,274.8,110.43
0.1,0.06,0.28,277.38,120.79
0.1,0.06,0.3,284.32,143.87
0.1,0.06,0.32,296.13,124.78
0.1,0.06,0.34,314.53,138.34
0.1,0.06,0.36,275.9,113.09
0.1,0.06,0.38,307.51,122.52
0.1,0.06,0.4,277.04,135.54
0.1,0.06,0.42,310.91,147.27
0.1,0.06,0.44,307.64,141.16
0.1,0.06,0.46,290.61,135.28
0.1,0.06,0.48,271.19,116.56
0.1,0.06,0.5,275.56,131.17
0.1,0.06,0.52,262.63,119.43
0.1,0.06,0.54,292.17,140.26
0.1,0.06,0.56,262.92,128.44
0.1,0.06,0.58,281.27,126.03
0.1,0.06,0.6,270.76,130.05
0.1,0.06,0.62,299.67,133.82
0.1,0.06,0.64,276.78,119.98
0.1,0.06,0.66,300.87,136.29
0.1,0.06,0.68,299.05,127.0
0.1,0.06,0.7,281.77,124.84
0.1,0.06,0.72,267.97,118.28
0.1,0.06,0.74,277.17,140.75
0.1,0.06,0.76,286.64,134.69
0.1,0.06,0.78,267.44,122.73
0.1,0.06,0.8,256.1,124.57
0.1,0.06,0.82,252.16,118.73
0.1,0.06,0.84,235.63,97.49
0.1,0.06,0.86,236.22,104.86
0.1,0.06,0.88,229.04,100.03
0.1,0.06,0.9,224.12,88.35
0.1,0.06,0.92,205.87,103.5
0.1,0.06,0.94,187.4,86.39
0.1,0.06,0.96,172.46,83.9
0.1,0.06,0.98,176.17,87.57
0.1,0.08,0.02,164.3,86.8
0.1,0.08,0.04,177.22,76.77
0.1,0.08,0.06,214.15,104.98
0.1,0.08,0.08,222.91,99.68
0.1,0.08,0.1,246.06,102.97
0.1,0.08,0.12,247.61,113.09
0.1,0.08,0.14,260.93,128.31
0.1,0.08,0.16,268.54,124.52
0.1,0.08,0.18,249.25,116.38
0.1,0.08,0.2,265.84,121.95
0.1,0.08,0.22,278.46,140.44
0.1,0.08,0.24,291.06,129.06
0.1,0.08,0.26,287.47,136.56
0.1,0.08,0.28,312.98,154.92
0.1,0.08,0.3,298.2,125.38
0.1,0.08,0.32,310.81,136.81
0.1,0.08,0.34,318.55,144.61
0.1,0.08,0.36,330.46,136.41
0.1,0.08,0.38,323.32,153.06
0.1,0.08,0.4,306.52,129.57
0.1,0.08,0.42,318.71,134.85
0.1,0.08,0.44,304.56,139.92
0.1,0.08,0.46,336.98,159.61
0.1,0.08,0.48,315.62,141.76
0.1,0.08,0.5,314.31,147.39
0.1,0.08,0.52,297.95,131.07
0.1,0.08,0.54,311.58,127.88
0.1,0.08,0.56,324.28,144.81
0.1,0.08,0.58,318.66,149.3
0.1,0.08,0.6,325.23,129.48
0.1,0.08,0.62,325.41,127.88
0.1,0.08,0.64,331.07,146.05
0.1,0.08,0.66,282.02,139.02
0.1,0.08,0.68,297.35,145.17
0.1,0.08,0.7,295.33,147.63
0.1,0.08,0.72,295.31,136.18
0.1,0.08,0.74,300.07,145.25
0.1,0.08,0.76,282.79,123.08
0.1,0.08,0.78,289.12,148.28
0.1,0.08,0.8,279.67,147.85
0.1,0.08,0.82,267.68,123.02
0.1,0.08,0.84,279.36,118.87
0.1,0.08,0.86,282.71,140.64
0.1,0.08,0.88,243.17,108.86
0.1,0.08,0.9,252.27,118.03
0.1,0.08,0.92,227.11,87.39
0.1,0.08,0.94,206.85,100.55
0.1,0.08,0.96,195.17,92.95
0.1,0.08,0.98,188.9,97.88
0.1,0.1,0.02,169.39,83.98
0.1,0.1,0.04,185.88,91.18
0.1,0.1,0.06,231.78,105.01
0.1,0.1,0.08,233.89,98.14
0.1,0.1,0.1,236.89,119.86
0.1,0.1,0.12,255.22,116.53
0.1,0.1,0.14,260.54,120.65
0.1,0.1,0.16,266.0,120.84
0.1,0.1,0.18,290.38,151.11
0.1,0.1,0.2,301.28,143.82
0.1,0.1,0.22,315.91,145.56
0.1,0.1,0.24,315.48,138.68
0.1,0.1,0.26,296.65,125.51
0.1,0.1,0.28,288.01,135.54
0.1,0.1,0.3,327.37,151.53
0.1,0.1,0.32,315.3,131.6
0.1,0.1,0.34,295.56,139.47
0.1,0.1,0.36,336.96,157.78
0.1,0.1,0.38,328.31,161.55
0.1,0.1,0.4,316.49,165.29
0.1,0.1,0.42,335.27,162.35
0.1,0.1,0.44,322.02,150.92
0.1,0.1,0.46,322.46,143.85
0.1,0.1,0.48,348.24,155.29
0.1,0.1,0.5,358.4,159.53
0.1,0.1,0.52,312.96,155.38
0.1,0.1,0.54,386.07,156.25
0.1,0.1,0.56,327.34,139.73
0.1,0.1,0.58,313.92,141.28
0.1,0.1,0.6,318.46,156.04
0.1,0.1,0.62,330.59,158.91
0.1,0.1,0.64,319.89,145.81
0.1,0.1,0.66,318.81,148.23
0.1,0.1,0.68,299.32,148.59
0.1,0.1,0.7,313.71,142.56
0.1,0.1,0.72,304.38,149.05
0.1,0.1,0.74,299.84,144.63
0.1,0.1,0.76,289.48,140.84
0.1,0.1,0.78,293.72,126.16
0.1,0.1,0.8,288.51,134.17
0.1,0.1,0.82,283.86,113.75
0.1,0.1,0.84,289.28,138.47
0.1,0.1,0.86,293.89,123.21
0.1,0.1,0.88,244.54,120.24
0.1,0.1,0.9,239.13,125.6
0.1,0.1,0.92,243.32,128.18
0.1,0.1,0.94,225.32,106.99
0.1,0.1,0.96,206.72,91.34
0.1,0.1,0.98,174.49,87.26
0.1,0.12,0.02,178.05,91.63
0.1,0.12,0.04,209.01,114.24
0.1,0.12,0.06,236.43,104.57
0.1,0.12,0.08,238.16,108.4
0.1,0.12,0.1,257.15,111.97
0.1,0.12,0.12,254.72,117.72
0.1,0.12,0.14,275.72,131.05
0.1,0.12,0.16,313.27,116.58
0.1,0.12,0.18,312.25,128.72
0.1,0.12,0.2,297.63,121.57
0.1,0.12,0.22,307.08,142.55
0.1,0.12,0.24,314.33,143.41
0.1,0.12,0.26,320.57,132.02
0.1,0.12,0.28,329.33,152.2
0.1,0.12,0.3,354.77,155.22
0.1,0.12,0.32,322.4,152.52
0.1,0.12,0.34,333.57,141.36
0.1,0.12,0.36,331.48,140.07
0.1,0.12,0.38,327.31,153.11
0.1,0.12,0.4,322.83,146.47
0.1,0.12,0.42,333.57,138.36
0.1,0.12,0.44,342.25,155.51
0.1,0.12,0.46,352.35,157.96
0.1,0.12,0.48,340.71,145.25
0.1,0.12,0.5,348.9,165.11
0.1,0.12,0.52,341.67,147.46
0.1,0.12,0.54,374.36,161.62
0.1,0.12,0.56,341.99,159.22
0.1,0.12,0.58,371.65,150.99
0.1,0.12,0.6,353.64,164.43
0.1,0.12,0.62,325.51,135.65
0.1,0.12,0.64,346.79,150.4
0.1,0.12,0.66,314.34,123.0
0.1,0.12,0.68,318.62,145.15
0.1,0.12,0.7,343.8,140.53
0.1,0.12,0.72,306.04,116.2
0.1,0.12,0.74,324.75,143.65
0.1,0.12,0.76,321.12,133.18
0.1,0.12,0.78,321.24,135.58
0.1,0.12,0.8,304.39,132.64
0.1,0.12,0.82,301.32,127.25
0.1,0.12,0.84,284.88,111.36
0.1,0.12,0.86,294.88,136.37
0.1,0.12,0.88,278.7,112.54
0.1,0.12,0.9,265.89,118.89
0.1,0.12,0.92,242.95,121.44
0.1,0.12,0.94,247.98,104.89
0.1,0.12,0.96,221.91,98.92
0.1,0.12,0.98,181.88,90.48
0.1,0.14,0.02,190.39,95.43
0.1,0.14,0.04,200.54,94.49
0.1,0.14,0.06,247.79,115.63
0.1,0.14,0.08,260.45,118.36
0.1,0.14,0.1,271.86,130.7
0.1,0.14,0.12,297.02,133.58
0.1,0.14,0.14,312.83,146.92
0.1,0.14,0.16,311.75,139.87
0.1,0.14,0.18,280.36,130.66
0.1,0.14,0.2,295.88,132.22
0.1,0.14,0.22,324.09,133.88
0.1,0.14,0.24,348.3,164.35
0.1,0.14,0.26,302.82,123.98
0.1,0.14,0.28,338.73,164.09
0.1,0.14,0.3,314.8,147.24
0.1,0.14,0.32,332.91,152.43
0.1,0.14,0.34,336.74,162.58
0.1,0.14,0.36,336.4,133.51
0.1,0.14,0.38,326.86,150.56
0.1,0.14,0.4,360.61,160.0
0.1,0.14,0.42,348.44,131.83
0.1,0.14,0.44,345.7,157.56
0.1,0.14,0.46,343.82,153.03
0.1,0.14,0.48,343.96,161.62
0.1,0.14,0.5,369.47,172.48
0.1,0.14,0.52,367.89,166.9
0.1,0.14,0.54,328.33,154.7
0.1,0.14,0.56,342.15,156.07
0.1,0.14,0.58,343.19,164.54
0.1,0.14,0.6,383.26,169.87
0.1,0.14,0.62,362.49,161.1
0.1,0.14,0.64,379.38,160.87
0.1,0.14,0.66,341.98,141.69
0.1,0.14,0.68,320.1,151.78
0.1,0.14,0.7,327.98,138.04
0.1,0.14,0.72,351.39,148.02
0.1,0.14,0.74,330.62,142.69
0.1,0.14,0.76,316.55,129.32
0.1,0.14,0.78,305.73,156.69
0.1,0.14,0.8,328.27,144.04
0.1,0.14,0.82,295.86,126.52
0.1,0.14,0.84,329.6,140.05
0.1,0.14,0.86,289.98,129.33
0.1,0.14,0.88,269.04,124.39
0.1,0.14,0.9,277.32,113.5
0.1,0.14,0.92,268.43,123.92
0.1,0.14,0.94,231.48,111.95
0.1,0.14,0.96,212.88,99.13
0.1,0.14,0.98,202.72,96.25
0.1,0.16,0.02,188.42,91.93
0.1,0.16,0.04,212.29,104.56
0.1,0.16,0.06,226.47,105.63
0.1,0.16,0.08,276.75,120.73
0.1,0.16,0.1,263.97,131.7
0.1,0.16,0.12,288.8,138.35
0.1,0.16,0.14,274.79,131.75
0.1,0.16,0.16,325.65,138.25
0.1,0.16,0.18,309.12,146.77
0.1,0.16,0.2,287.26,130.53
0.1,0.16,0.22,321.27,156.61
0.1,0.16,0.24,345.29,161.22
0.1,0.16,0.26,352.35,150.29
0.1,0.16,0.28,340.2,136.7
0.1,0.16,0.3,369.95,148.38
0.1,0.16,0.32,332.11,137.55
0.1,0.16,0.34,371.07,157.57
0.1,0.16,0.36,370.51,166.35
0.1,0.16,0.38,378.63,170.85
0.1,0.16,0.4,357.54,146.86
0.1,0.16,0.42,335.6,166.86
0.1,0.16,0.44,341.53,152.98
0.1,0.16,0.46,375.5,169.79
0.1,0.16,0.48,380.01,179.65
0.1,0.16,0.5,377.83,170.16
0.1,0.16,0.52,367.29,167.85
0.1,0.16,0.54,381.46,191.35
0.1,0.16,0.56,378.3,173.46
0.1,0.16,0.58,347.15,133.52
0.1,0.16,0.6,399.53,165.22
0.1,0.16,0.62,357.34,170.92
0.1,0.16,0.64,368.01,166.39
0.1,0.16,0.66,378.57,169.11
0.1,0.16,0.68,358.58,150.34
0.1,0.16,0.7,323.77,147.3
0.1,0.16,0.72,360.87,165.18
0.1,0.16,0.74,331.43,129.03
0.1,0.16,0.76,339.89,137.97
0.1,0.16,0.78,352.22,148.56
0.1,0.16,0.8,337.5,164.52
0.1,0.16,0.82,314.74,147.38
0.1,0.16,0.84,323.0,132.5
0.1,0.16,0.86,324.92,127.29
0.1,0.16,0.88,319.36,128.52
0.1,0.16,0.9,279.84,121.73
0.1,0.16,0.92,254.87,104.04
0.1,0.16,0.94,252.35,110.39
0.1,0.16,0.96,247.57,115.24
0.1,0.16,0.98,223.27,101.27
0.1,0.18,0.02,215.76,93.99
0.1,0.18,0.04,230.72,107.16
0.1,0.18,0.06,242.15,114.8
0.1,0.18,0.08,269.86,115.68
0.1,0.18,0.1,287.86,132.1
0.1,0.18,0.12,281.35,130.79
0.1,0.18,0.14,321.47,148.89
0.1,0.18,0.16,325.85,150.19
0.1,0.18,0.18,316.76,131.91
0.1,0.18,0.2,301.92,128.03
0.1,0.18,0.22,355.07,168.32
0.1,0.18,0.24,329.69,129.43
0.1,0.18,0.26,346.62,159.4
0.1,0.18,0.28,361.03,156.63
0.1,0.18,0.3,374.42,163.72
0.1,0.18,0.32,381.42,185.19
0.1,0.18,0.34,384.64,173.56
0.1,0.18,0.36,375.21,178.05
0.1,0.18,0.38,340.73,141.54
0.1,0.18,0.4,359.49,157.28
0.1,0.18,0.42,380.39,161.94
0.1,0.18,0.44,398.65,142.11
0.1,0.18,0.46,388.48,163.16
0.1,0.18,0.48,364.43,169.91
0.1,0.18,0.5,379.15,172.03
0.1,0.18,0.52,324.79,136.52
0.1,0.18,0.54,375.88,166.7
0.1,0.18,0.56,381.31,172.35
0.1,0.18,0.58,371.28,164.29
0.1,0.18,0.6,375.09,151.92
0.1,0.18,0.62,392.1,155.64
0.1,0.18,0.64,354.48,157.2
0.1,0.18,0.66,373.24,167.94
0.1,0.18,0.68,355.11,143.9
0.1,0.18,0.7,380.57,160.11
0.1,0.18,0.72,376.49,151.89
0.1,0.18,0.74,349.32,161.32
0.1,0.18,0.76,321.6,161.25
0.1,0.18,0.78,363.59,147.83
0.1,0.18,0.8,329.79,155.74
0.1,0.18,0.82,315.76,133.04
0.1,0.18,0.84,319.99,157.29
0.1,0.18,0.86,321.63,138.98
0.1,0.18,0.88,291.96,123.77
0.1,0.18,0.9,285.78,124.44
0.1,0.18,0.92,293.68,120.14
0.1,0.18,0.94,226.26,108.42
0.1,0.18,0.96,244.15,118.23
0.1,0.18,0.98,208.72,96.27
0.1,0.2,0.02,216.45,91.77
0.1,0.2,0.04,235.76,99.91
0.1,0.2,0.06,246.42,113.97
0.1,0.2,0.08,284.39,134.34
0.1,0.2,0.1,283.43,139.19
0.1,0.2,0.12,309.08,130.5
0.1,0.2,0.14,312.42,134.02
0.1,0.2,0.16,317.33,146.86
0.1,0.2,0.18,351.21,162.84
0.1,0.2,0.2,320.61,173.84
0.1,0.2,0.22,335.25,137.23
0.1,0.2,0.24,343.36,146.91
0.1,0.2,0.26,355.87,146.75
0.1,0.2,0.28,356.04,154.55
0.1,0.2,0.3,362.47,158.07
0.1,0.2,0.32,369.78,174.58
0.1,0.2,0.34,367.31,144.57
0.1,0.2,0.36,394.91,158.09
0.1,0.2,0.38,390.39,186.56
0.1,0.2,0.4,381.14,153.96
0.1,0.2,0.42,352.01,168.09
0.1,0.2,0.44,386.69,159.0
0.1,0.2,0.46,380.65,159.13
0.1,0.2,0.48,372.34,156.65
0.1,0.2,0.5,368.66,161.6
0.1,0.2,0.52,387.89,180.11
0.1,0.2,0.54,372.75,174.45
0.1,0.2,0.56,368.53,165.09
0.1,0.2,0.58,343.19,150.64
0.1,0.2,0.6,341.08,161.16
0.1,0.2,0.62,369.22,162.23
0.1,0.2,0.64,355.99,169.93
0.1,0.2,0.66,385.84,181.27
0.1,0.2,0.68,375.24,141.28
0.1,0.2,0.7,341.44,143.92
0.1,0.2,0.72,351.58,141.6
0.1,0.2,0.74,372.95,144.93
0.1,0.2,0.76,362.78,149.23
0.1,0.2,0.78,375.92,170.2
0.1,0.2,0.8,341.13,168.12
0.1,0.2,0.82,333.18,141.95
0.1,0.2,0.84,326.06,142.78
0.1,0.2,0.86,316.04,135.09
0.1,0.2,0.88,317.78,133.58
0.1,0.2,0.9,264.58,129.62
0.1,0.2,0.92,275.33,132.83
0.1,0.2,0.94,266.29,131.51
0.1,0.2,0.96,239.03,116.1
0.1,0.2,0.98,202.2,91.08
0.1,0.22,0.02,221.33,112.79
0.1,0.22,0.04,245.98,98.09
0.1,0.22,0.06,263.5,117.13
0.1,0.22,0.08,261.38,120.7
0.1,0.22,0.1,284.38,118.6
0.1,0.22,0.12,313.55,131.34
0.1,0.22,0.14,332.49,131.14
0.1,0.22,0.16,335.18,155.08
0.1,0.22,0.18,358.3,169.28
0.1,0.22,0.2,344.14,150.9
0.1,0.22,0.22,364.16,177.31
0.1,0.22,0.24,373.77,163.93
0.1,0.22,0.26,379.42,155.3
0.1,0.22,0.28,383.88,162.73
0.1,0.22,0.3,375.15,142.17
0.1,0.22,0.32,367.22,156.98
0.1,0.22,0.34,382.96,176.39
0.1,0.22,0.36,395.41,175.54
0.1,0.22,0.38,374.81,162.96
0.1,0.22,0.4,390.19,171.67
0.1,0.22,0.42,387.31,171.8
0.1,0.22,0.44,370.43,169.04
0.1,0.22,0.46,361.93,142.25
0.1,0.22,0.48,373.34,170.27
0.1,0.22,0.5,388.18,183.37
0.1,0.22,0.52,426.88,188.6
0.1,0.22,0.54,413.25,175.59
0.1,0.22,0.56,404.38,166.46
0.1,0.22,0.58,378.6,165.4
0.1,0.22,0.6,377.64,193.96
0.1,0.22,0.62,385.79,174.48
0.1,0.22,0.64,373.81,159.05
0.1,0.22,0.66,359.76,166.54
0.1,0.22,0.68,387.11,159.39
0.1,0.22,0.7,340.59,159.92
0.1,0.22,0.72,392.45,181.55
0.1,0.22,0.74,342.71,154.53
0.1,0.22,0.76,352.31,161.88
0.1,0.22,0.78,351.32,149.59
0.1,0.22,0.8,342.94,146.46
0.1,0.22,0.82,335.92,150.41
0.1,0.22,0.84,328.19,141.39
0.1,0.22,0.86,317.06,134.71
0.1,0.22,0.88,315.75,143.46
0.1,0.22,0.9,300.62,136.7
0.1,0.22,0.92,266.82,130.32
0.1,0.22,0.94,270.86,131.18
0.1,0.22,0.96,234.01,104.95
0.1,0.22,0.98,187.92,87.36
0.1,0.24,0.02,226.53,98.39
0.1,0.24,0.04,261.05,114.51
0.1,0.24,0.06,274.34,131.54
0.1,0.24,0.08,298.01,134.88
0.1,0.24,0.1,309.66,129.9
0.1,0.24,0.12,288.18,126.96
0.1,0.24,0.14,331.78,138.48
0.1,0.24,0.16,320.91,156.54
0.1,0.24,0.18,331.97,155.14
0.1,0.24,0.2,338.77,157.75
0.1,0.24,0.22,363.18,166.62
0.1,0.24,0.24,374.78,173.61
0.1,0.24,0.26,398.56,164.14
0.1,0.24,0.28,376.39,163.4
0.1,0.24,0.3,394.32,170.71
0.1,0.24,0.32,378.3,174.72
0.1,0.24,0.34,382.46,174.85
0.1,0.24,0.36,362.9,169.14
0.1,0.24,0.38,390.23,165.5
0.1,0.24,0.4,390.77,172.82
0.1,0.24,0.42,395.19,190.19
0.1,0.24,0.44,371.84,165.41
0.1,0.24,0.46,397.66,178.32
0.1,0.24,0.48,407.28,163.54
0.1,0.24,0.5,398.86,170.03
0.1,0.24,0.52,394.36,176.26
0.1,0.24,0.54,388.6,165.11
0.1,0.24,0.56,351.77,168.64
0.1,0.24,0.58,372.91,165.45
0.1,0.24,0.6,391.24,164.61
0.1,0.24,0.62,391.06,161.65
0.1,0.24,0.64,415.53,161.85
0.1,0.24,0.66,390.7,175.51
0.1,0.24,0.68,366.99,180.44
0.1,0.24,0.7,362.54,173.53
0.1,0.24,0.72,364.16,142.34
0.1,0.24,0.74,379.57,182.24
0.1,0.24,0.76,343.24,151.34
0.1,0.24,0.78,366.51,166.91
0.1,0.24,0.8,351.33,147.64
0.1,0.24,0.82,345.55,141.03
0.1,0.24,0.84,319.53,148.95
0.1,0.24,0.86,307.16,151.26
0.1,0.24,0.88,293.21,134.58
0.1,0.24,0.9,307.74,126.85
0.1,0.24,0.92,279.99,125.15
0.1,0.24,0.94,279.3,128.61
0.1,0.24,0.96,249.2,109.98
0.1,0.24,0.98,212.58,104.61
0.1,0.26,0.02,221.91,89.55
0.1,0.26,0.04,256.56,112.17
0.1,0.26,0.06,267.63,116.5
0.1,0.26,0.08,277.33,125.78
0.1,0.26,0.1,310.0,130.77
0.1,0.26,0.12,329.84,149.24
0.1,0.26,0.14,317.16,147.35
0.1,0.26,0.16,315.51,145.49
0.1,0.26,0.18,354.09,163.69
0.1,0.26,0.2,371.76,169.96
0.1,0.26,0.22,384.78,166.75
0.1,0.26,0.24,359.39,155.57
0.1,0.26,0.26,387.62,158.13
0.1,0.26,0.28,364.14,173.83
0.1,0.26,0.3,410.81,175.83
0.1,0.26,0.32,410.85,202.74
0.1,0.26,0.34,406.3,162.94
0.1,0.26,0.36,394.9,182.64
0.1,0.26,0.38,422.39,197.27
0.1,0.26,0.4,370.07,170.88
0.1,0.26,0.42,445.32,177.67
0.1,0.26,0.44,384.37,179.55
0.1,0.26,0.46,393.16,181.62
0.1,0.26,0.48,413.85,170.46
0.1,0.26,0.5,409.91,182.15
0.1,0.26,0.52,406.07,184.02
0.1,0.26,0.54,383.03,182.26
0.1,0.26,0.56,413.76,193.48
0.1,0.26,0.58,418.36,167.31
0.1,0.26,0.6,394.39,179.68
0.1,0.26,0.62,384.33,153.67
0.1,0.26,0.64,411.04,174.01
0.1,0.26,0.66,367.89,182.2
0.1,0.26,0.68,425.4,179.92
0.1,0.26,0.7,373.92,188.89
0.1,0.26,0.72,332.38,165.6
0.1,0.26,0.74,372.75,177.87
0.1,0.26,0.76,360.73,163.51
0.1,0.26,0.78,364.32,159.85
0.1,0.26,0.8,365.55,163.7
0.1,0.26,0.82,352.2,152.76
0.1,0.26,0.84,338.77,139.38
0.1,0.26,0.86,312.71,146.26
0.1,0.26,0.88,328.29,139.77
0.1,0.26,0.9,306.11,128.32
0.1,0.26,0.92,268.59,120.91
0.1,0.26,0.94,283.53,124.29
0.1,0.26,0.96,266.94,138.99
0.1,0.26,0.98,229.77,111.36
0.1,0.28,0.02,213.26,118.02
0.1,0.28,0.04,269.66,136.08
0.1,0.28,0.06,273.68,114.75
0.1,0.28,0.08,310.06,144.7
0.1,0.28,0.1,311.08,138.66
0.1,0.28,0.12,303.71,145.73
0.1,0.28,0.14,364.56,167.95
0.1,0.28,0.16,369.99,182.85
0.1,0.28,0.18,348.1,150.37
0.1,0.28,0.2,347.6,151.54
0.1,0.28,0.22,355.73,157.33
0.1,0.28,0.24,391.87,178.79
0.1,0.28,0.26,399.64,174.35
0.1,0.28,0.28,380.16,166.53
0.1,0.28,0.3,393.28,196.04
0.1,0.28,0.32,407.3,171.67
0.1,0.28,0.34,421.01,170.61
0.1,0.28,0.36,378.18,181.98
0.1,0.28,0.38,402.67,190.17
0.1,0.28,0.4,417.92,153.02
0.1,0.28,0.42,401.63,173.31
0.1,0.28,0.44,403.79,157.26
0.1,0.28,0.46,425.15,168.47
0.1,0.28,0.48,409.1,152.26
0.1,0.28,0.5,406.23,164.68
0.1,0.28,0.52,450.58,185.0
0.1,0.28,0.54,415.01,187.68
0.1,0.28,0.56,413.87,174.99
0.1,0.28,0.58,376.96,160.31
0.1,0.28,0.6,390.23,160.09
0.1,0.28,0.62,395.54,188.21
0.1,0.28,0.64,405.19,148.99
0.1,0.28,0.66,404.23,166.06
0.1,0.28,0.68,369.58,166.51
0.1,0.28,0.7,360.44,171.97
0.1,0.28,0.72,399.45,189.37
0.1,0.28,0.74,394.92,153.19
0.1,0.28,0.76,367.98,185.75
0.1,0.28,0.78,360.59,169.81
0.1,0.28,0.8,358.5,150.08
0.1,0.28,0.82,326.74,156.22
0.1,0.28,0.84,333.6,163.54
0.1,0.28,0.86,325.57,135.14
0.1,0.28,0.88,313.45,159.36
0.1,0.28,0.9,291.16,135.25
0.1,0.28,0.92,278.69,137.07
0.1,0.28,0.94,289.69,122.05
0.1,0.28,0.96,245.21,114.84
0.1,0.28,0.98,224.66,107.78
0.1,0.3,0.02,223.97,126.05
0.1,0.3,0.04,256.86,106.15
0.1,0.3,0.06,290.46,123.24
0.1,0.3,0.08,266.49,110.86
0.1,0.3,0.1,316.99,122.97
0.1,0.3,0.12,337.26,142.49
0.1,0.3,0.14,320.79,126.03
0.1,0.3,0.16,363.37,173.12
0.1,0.3,0.18,370.51,142.54
0.1,0.3,0.2,386.69,159.6
0.1,0.3,0.22,369.29,168.1
0.1,0.3,0.24,418.6,169.81
