q0,q1,q2,mean_cost,std
0.1,0.5,0.02,238.65,99.4
0.1,0.5,0.04,274.9,139.86
0.1,0.5,0.06,285.25,127.09
0.1,0.5,0.08,329.24,136.33
0.1,0.5,0.1,335.99,162.53
0.1,0.5,0.12,361.97,160.02
0.1,0.5,0.14,342.15,173.53
0.1,0.5,0.16,351.88,176.51
0.1,0.5,0.18,366.78,172.91
0.1,0.5,0.2,368.75,183.28
0.1,0.5,0.22,398.92,184.77
0.1,0.5,0.24,382.04,168.43
0.1,0.5,0.26,429.78,167.55
0.1,0.5,0.28,438.93,184.47
0.1,0.5,0.3,411.73,165.95
0.1,0.5,0.32,412.43,174.17
0.1,0.5,0.34,404.9,166.03
0.1,0.5,0.36,435.15,182.95
0.1,0.5,0.38,429.95,199.96
0.1,0.5,0.4,463.68,196.53
0.1,0.5,0.42,415.89,185.39
0.1,0.5,0.44,424.84,190.14
0.1,0.5,0.46,462.98,191.2
0.1,0.5,0.48,442.25,195.99
0.1,0.5,0.5,431.65,186.51
0.1,0.5,0.52,440.56,204.55
0.1,0.5,0.54,427.77,159.68
0.1,0.5,0.56,441.33,184.85
0.1,0.5,0.58,425.58,186.07
0.1,0.5,0.6,453.5,186.03
0.1,0.5,0.62,397.27,150.92
0.1,0.5,0.64,383.79,161.04
0.1,0.5,0.66,428.54,172.15
0.1,0.5,0.68,408.85,193.2
0.1,0.5,0.7,396.1,160.48
0.1,0.5,0.72,402.77,186.52
0.1,0.5,0.74,390.31,157.63
0.1,0.5,0.76,423.63,163.11
0.1,0.5,0.78,403.06,173.99
0.1,0.5,0.8,389.09,181.67
0.1,0.5,0.82,384.6,164.56
0.1,0.5,0.84,355.34,155.51
0.1,0.5,0.86,331.12,162.17
0.1,0.5,0.88,370.81,144.05
0.1,0.5,0.9,359.89,154.62
0.1,0.5,0.92,330.94,137.7
0.1,0.5,0.94,294.45,130.94
0.1,0.5,0.96,271.2,136.51
0.1,0.5,0.98,233.78,107.36
