n,q0,q1,q2,mean_cost,std
10000.0,0.5,0.3,0.2,209.88,80.17
10000.0,0.5,0.3,0.3,222.3,96.39
10000.0,0.5,0.3,0.4,198.57,85.16
10000.0,0.5,0.3,0.5,216.23,89.69
10000.0,0.5,0.4,0.1,179.64,84.83
10000.0,0.5,0.4,0.2,198.43,81.84
10000.0,0.5,0.4,0.3,216.44,90.66
10000.0,0.5,0.4,0.4,225.43,94.24
10000.0,0.5,0.4,0.5,221.58,86.35
10000.0,0.5,0.5,0.1,161.82,69.46
10000.0,0.5,0.5,0.2,203.59,86.05
10000.0,0.5,0.5,0.3,229.09,94.81
10000.0,0.5,0.5,0.4,226.37,99.15
10000.0,0.5,0.5,0.5,226.49,106.05
15000.0,0.1,0.1,0.1,131.07,57.38
15000.0,0.1,0.1,0.2,150.77,70.38
15000.0,0.1,0.1,0.3,161.22,74.12
15000.0,0.1,0.1,0.4,160.44,73.63
15000.0,0.1,0.1,0.5,168.04,85.19
15000.0,0.1,0.2,0.1,147.91,66.8
15000.0,0.1,0.2,0.2,164.01,75.91
15000.0,0.1,0.2,0.3,198.23,85.9
15000.0,0.1,0.2,0.4,190.04,91.22
15000.0,0.1,0.2,0.5,190.44,96.9
15000.0,0.1,0.3,0.1,160.91,76.34
15000.0,0.1,0.3,0.2,185.01,81.34
15000.0,0.1,0.3,0.3,192.06,76.48
15000.0,0.1,0.3,0.4,210.09,85.45
15000.0,0.1,0.3,0.5,190.78,94.14
15000.0,0.1,0.4,0.1,158.57,69.68
15000.0,0.1,0.4,0.2,181.93,82.64
15000.0,0.1,0.4,0.3,219.02,93.7
15000.0,0.1,0.4,0.4,203.67,94.51
15000.0,0.1,0.4,0.5,205.73,71.99
15000.0,0.1,0.5,0.1,169.4,75.16
15000.0,0.1,0.5,0.2,210.8,93.43
15000.0,0.1,0.5,0.3,212.12,78.09
15000.0,0.1,0.5,0.4,224.79,94.57
15000.0,0.1,0.5,0.5,227.27,90.47
15000.0,0.2,0.1,0.1,143.89,64.22
15000.0,0.2,0.1,0.2,160.07,72.34
15000.0,0.2,0.1,0.3,185.28,76.79
15000.0,0.2,0.1,0.4,196.73,88.53
15000.0,0.2,0.1,0.5,198.65,79.92
15000.0,0.2,0.2,0.1,161.73,77.06
15000.0,0.2,0.2,0.2,211.34,93.36
15000.0,0.2,0.2,0.3,219.03,97.69
15000.0,0.2,0.2,0.4,229.16,108.22
15000.0,0.2,0.2,0.5,229.59,97.05
15000.0,0.2,0.3,0.1,187.63,70.81
15000.0,0.2,0.3,0.2,208.36,90.31
15000.0,0.2,0.3,0.3,230.58,88.43
15000.0,0.2,0.3,0.4,243.41,90.79
15000.0,0.2,0.3,0.5,249.06,92.9
15000.0,0.2,0.4,0.1,198.28,79.89
15000.0,0.2,0.4,0.2,221.63,94.31
15000.0,0.2,0.4,0.3,244.65,100.93
15000.0,0.2,0.4,0.4,265.14,112.18
15000.0,0.2,0.4,0.5,246.09,107.57
15000.0,0.2,0.5,0.1,193.22,79.63
15000.0,0.2,0.5,0.2,233.15,102.86
15000.0,0.2,0.5,0.3,243.58,111.54
15000.0,0.2,0.5,0.4,252.91,110.43
15000.0,0.2,0.5,0.5,257.2,97.02
15000.0,0.3,0.1,0.1,178.04,64.98
15000.0,0.3,0.1,0.2,189.98,80.31
15000.0,0.3,0.1,0.3,197.23,85.48
15000.0,0.3,0.1,0.4,212.4,91.34
15000.0,0.3,0.1,0.5,218.49,100.75
15000.0,0.3,0.2,0.1,176.41,83.12
15000.0,0.3,0.2,0.2,224.63,87.16
15000.0,0.3,0.2,0.3,235.97,97.74
15000.0,0.3,0.2,0.4,233.39,92.47
15000.0,0.3,0.2,0.5,247.12,106.27
15000.0,0.3,0.3,0.1,205.81,85.86
15000.0,0.3,0.3,0.2,225.12,90.49
15000.0,0.3,0.3,0.3,251.39,103.51
15000.0,0.3,0.3,0.4,245.17,103.8
15000.0,0.3,0.3,0.5,268.73,102.31
15000.0,0.3,0.4,0.1,196.81,80.24
15000.0,0.3,0.4,0.2,252.92,104.38
15000.0,0.3,0.4,0.3,274.22,116.59
15000.0,0.3,0.4,0.4,267.23,121.15
15000.0,0.3,0.4,0.5,268.99,116.77
15000.0,0.3,0.5,0.1,206.04,95.17
15000.0,0.3,0.5,0.2,240.28,100.75
15000.0,0.3,0.5,0.3,269.56,115.45
15000.0,0.3,0.5,0.4,272.15,105.27
15000.0,0.3,0.5,0.5,276.09,106.69
