#Col 1: dimension K: 6
#Col 2: specified s: 3
#Col 3: min n: 50000
#Col 4: max n50000
#Col 5: pas n1
#Col 7: n of trees100

K,s,n,q0,q1,q2,cost
6,3,50000,0.1,0.5,0.02,180
6,3,50000,0.1,0.5,0.02,130
6,3,50000,0.1,0.5,0.02,279
6,3,50000,0.1,0.5,0.02,137
6,3,50000,0.1,0.5,0.02,204
6,3,50000,0.1,0.5,0.02,164
6,3,50000,0.1,0.5,0.02,137
6,3,50000,0.1,0.5,0.02,273
6,3,50000,0.1,0.5,0.02,141
6,3,50000,0.1,0.5,0.02,379
6,3,50000,0.1,0.5,0.02,54
6,3,50000,0.1,0.5,0.02,246
6,3,50000,0.1,0.5,0.02,266
6,3,50000,0.1,0.5,0.02,325
6,3,50000,0.1,0.5,0.02,223
6,3,50000,0.1,0.5,0.02,227
6,3,50000,0.1,0.5,0.02,373
6,3,50000,0.1,0.5,0.02,85
6,3,50000,0.1,0.5,0.02,233
6,3,50000,0.1,0.5,0.02,421
6,3,50000,0.1,0.5,0.02,141
6,3,50000,0.1,0.5,0.02,221
6,3,50000,0.1,0.5,0.02,253
6,3,50000,0.1,0.5,0.02,152
6,3,50000,0.1,0.5,0.02,534
6,3,50000,0.1,0.5,0.02,125
6,3,50000,0.1,0.5,0.02,87
6,3,50000,0.1,0.5,0.02,197
6,3,50000,0.1,0.5,0.02,320
6,3,50000,0.1,0.5,0.02,225
6,3,50000,0.1,0.5,0.02,146
6,3,50000,0.1,0.5,0.02,137
6,3,50000,0.1,0.5,0.02,259
6,3,50000,0.1,0.5,0.02,243
6,3,50000,0.1,0.5,0.02,397
6,3,50000,0.1,0.5,0.02,227
6,3,50000,0.1,0.5,0.02,105
6,3,50000,0.1,0.5,0.02,112
6,3,50000,0.1,0.5,0.02,154
6,3,50000,0.1,0.5,0.02,198
6,3,50000,0.1,0.5,0.02,329
6,3,50000,0.1,0.5,0.02,389
6,3,50000,0.1,0.5,0.02,201
6,3,50000,0.1,0.5,0.02,361
6,3,50000,0.1,0.5,0.02,326
6,3,50000,0.1,0.5,0.02,147
6,3,50000,0.1,0.5,0.02,276
6,3,50000,0.1,0.5,0.02,237
6,3,50000,0.1,0.5,0.02,271
6,3,50000,0.1,0.5,0.02,181
6,3,50000,0.1,0.5,0.02,242
6,3,50000,0.1,0.5,0.02,233
6,3,50000,0.1,0.5,0.02,162
6,3,50000,0.1,0.5,0.02,236
6,3,50000,0.1,0.5,0.02,300
6,3,50000,0.1,0.5,0.02,265
6,3,50000,0.1,0.5,0.02,194
6,3,50000,0.1,0.5,0.02,319
6,3,50000,0.1,0.5,0.02,250
6,3,50000,0.1,0.5,0.02,90
6,3,50000,0.1,0.5,0.02,208
6,3,50000,0.1,0.5,0.02,226
6,3,50000,0.1,0.5,0.02,382
6,3,50000,0.1,0.5,0.02,278
6,3,50000,0.1,0.5,0.02,387
6,3,50000,0.1,0.5,0.02,91
6,3,50000,0.1,0.5,0.02,166
6,3,50000,0.1,0.5,0.02,202
6,3,50000,0.1,0.5,0.02,271
6,3,50000,0.1,0.5,0.02,166
6,3,50000,0.1,0.5,0.02,394
6,3,50000,0.1,0.5,0.02,70
6,3,50000,0.1,0.5,0.02,333
6,3,50000,0.1,0.5,0.02,250
6,3,50000,0.1,0.5,0.02,255
6,3,50000,0.1,0.5,0.02,117
6,3,50000,0.1,0.5,0.02,425
6,3,50000,0.1,0.5,0.02,331
6,3,50000,0.1,0.5,0.02,137
6,3,50000,0.1,0.5,0.02,338
6,3,50000,0.1,0.5,0.02,286
6,3,50000,0.1,0.5,0.02,155
6,3,50000,0.1,0.5,0.02,145
6,3,50000,0.1,0.5,0.02,370
6,3,50000,0.1,0.5,0.02,171
6,3,50000,0.1,0.5,0.02,239
6,3,50000,0.1,0.5,0.02,324
6,3,50000,0.1,0.5,0.02,343
6,3,50000,0.1,0.5,0.02,451
6,3,50000,0.1,0.5,0.02,27
6,3,50000,0.1,0.5,0.02,327
6,3,50000,0.1,0.5,0.02,247
6,3,50000,0.1,0.5,0.02,195
6,3,50000,0.1,0.5,0.02,130
6,3,50000,0.1,0.5,0.02,274
6,3,50000,0.1,0.5,0.02,309
6,3,50000,0.1,0.5,0.02,248
6,3,50000,0.1,0.5,0.02,123
6,3,50000,0.1,0.5,0.02,351
6,3,50000,0.1,0.5,0.02,404
6,3,50000,0.1,0.5,0.04,109
6,3,50000,0.1,0.5,0.04,276
6,3,50000,0.1,0.5,0.04,156
6,3,50000,0.1,0.5,0.04,81
6,3,50000,0.1,0.5,0.04,218
6,3,50000,0.1,0.5,0.04,297
6,3,50000,0.1,0.5,0.04,238
6,3,50000,0.1,0.5,0.04,389
6,3,50000,0.1,0.5,0.04,156
6,3,50000,0.1,0.5,0.04,344
6,3,50000,0.1,0.5,0.04,409
6,3,50000,0.1,0.5,0.04,377
6,3,50000,0.1,0.5,0.04,275
6,3,50000,0.1,0.5,0.04,585
6,3,50000,0.1,0.5,0.04,169
6,3,50000,0.1,0.5,0.04,179
6,3,50000,0.1,0.5,0.04,55
6,3,50000,0.1,0.5,0.04,234
6,3,50000,0.1,0.5,0.04,289
6,3,50000,0.1,0.5,0.04,174
6,3,50000,0.1,0.5,0.04,284
6,3,50000,0.1,0.5,0.04,209
6,3,50000,0.1,0.5,0.04,289
6,3,50000,0.1,0.5,0.04,147
6,3,50000,0.1,0.5,0.04,333
6,3,50000,0.1,0.5,0.04,101
6,3,50000,0.1,0.5,0.04,333
6,3,50000,0.1,0.5,0.04,101
6,3,50000,0.1,0.5,0.04,68
6,3,50000,0.1,0.5,0.04,105
6,3,50000,0.1,0.5,0.04,199
6,3,50000,0.1,0.5,0.04,145
6,3,50000,0.1,0.5,0.04,87
6,3,50000,0.1,0.5,0.04,202
6,3,50000,0.1,0.5,0.04,56
6,3,50000,0.1,0.5,0.04,222
6,3,50000,0.1,0.5,0.04,417
6,3,50000,0.1,0.5,0.04,398
6,3,50000,0.1,0.5,0.04,320
6,3,50000,0.1,0.5,0.04,327
6,3,50000,0.1,0.5,0.04,159
6,3,50000,0.1,0.5,0.04,472
6,3,50000,0.1,0.5,0.04,437
6,3,50000,0.1,0.5,0.04,38
6,3,50000,0.1,0.5,0.04,272
