q0,q1,q2,mean_cost,std
0.5,0.02,0.02,183.62,89.61
0.5,0.02,0.04,195.98,96.35
0.5,0.02,0.06,208.91,112.99
0.5,0.02,0.08,227.04,102.62
0.5,0.02,0.1,250.12,120.88
0.5,0.02,0.12,245.35,110.79
0.5,0.02,0.14,258.29,120.04
0.5,0.02,0.16,269.57,129.12
0.5,0.02,0.18,283.95,134.72
0.5,0.02,0.2,285.43,122.36
0.5,0.02,0.22,270.59,136.72
0.5,0.02,0.24,279.52,129.21
0.5,0.02,0.26,288.53,141.55
0.5,0.02,0.28,296.88,120.8
0.5,0.02,0.3,286.89,132.19
0.5,0.02,0.32,298.66,140.39
0.5,0.02,0.34,303.92,129.74
0.5,0.02,0.36,306.63,132.27
0.5,0.02,0.38,338.75,162.84
0.5,0.02,0.4,338.7,137.74
0.5,0.02,0.42,328.39,149.0
0.5,0.02,0.44,313.88,134.16
0.5,0.02,0.46,306.91,159.37
0.5,0.02,0.48,316.9,149.36
0.5,0.02,0.5,320.22,142.0
0.5,0.02,0.52,328.04,157.49
0.5,0.02,0.54,306.88,143.36
0.5,0.02,0.56,296.4,133.58
0.5,0.02,0.58,294.94,128.3
0.5,0.02,0.6,335.85,149.45
0.5,0.02,0.62,292.79,132.86
0.5,0.02,0.64,284.13,143.14
0.5,0.02,0.66,296.15,140.53
0.5,0.02,0.68,285.04,133.71
0.5,0.02,0.7,289.73,144.97
0.5,0.02,0.72,301.31,150.18
0.5,0.02,0.74,297.02,144.29
0.5,0.02,0.76,262.01,125.06
0.5,0.02,0.78,270.35,132.49
0.5,0.02,0.8,284.42,129.73
0.5,0.02,0.82,290.82,140.64
0.5,0.02,0.84,264.19,141.41
0.5,0.02,0.86,264.74,120.03
0.5,0.02,0.88,235.58,108.17
0.5,0.02,0.9,237.76,112.46
0.5,0.02,0.92,212.31,117.98
0.5,0.02,0.94,204.56,100.99
0.5,0.02,0.96,208.34,110.47
0.5,0.02,0.98,153.01,79.97
0.5,0.04,0.02,197.35,93.1
0.5,0.04,0.04,224.69,93.9
0.5,0.04,0.06,248.84,122.74
0.5,0.04,0.08,280.35,114.89
0.5,0.04,0.1,259.49,126.93
0.5,0.04,0.12,284.99,123.83
0.5,0.04,0.14,294.57,124.35
0.5,0.04,0.16,324.95,144.87
0.5,0.04,0.18,306.98,146.75
0.5,0.04,0.2,335.16,138.56
0.5,0.04,0.22,320.51,154.89
0.5,0.04,0.24,322.45,158.66
0.5,0.04,0.26,318.55,141.25
